frame,timestamp_wall,timestamp,duplicated,late
0,1781700373.140450001,0.000000000,0,0.000000
1,1781700373.240449905,0.100000000,0,0.009000
2,1781700373.340450048,0.200000000,0,0.003000
3,1781700373.440449953,0.300000000,0,0.012000
4,1781700373.540450096,0.400000000,0,0.006000
5,1781700373.640450001,0.500000000,0,0.016000
6,1781700373.740449905,0.600000000,0,0.041000
7,1781700373.840450048,0.700000000,0,0.081000
8,1781700373.940449953,0.800000000,0,0.106000
9,1781700374.040450096,0.900000000,0,0.147000
10,1781700374.140450001,1.000000000,0,0.172000
11,1781700374.240449905,1.100000000,0,0.212000
12,1781700374.340450048,1.200000000,0,0.253000
13,1781700374.440449953,1.300000000,0,0.278000
14,1781700374.540450096,1.400000000,0,0.334000
15,1781700374.640450001,1.500000000,0,0.344000
16,1781700374.740449905,1.600000000,0,0.384000
17,1781700374.840450048,1.700000000,0,0.425000
18,1781700374.940449953,1.800000000,0,0.450000
19,1781700375.040450096,1.900000000,0,0.475000
20,1781700375.140450001,2.000000000,0,0.516000
21,1781700375.240449905,2.100000000,0,0.556000
22,1781700375.340450048,2.200000000,0,0.597000
23,1781700375.440449953,2.300000000,0,0.622000
24,1781700375.540450096,2.400000000,0,0.662000
25,1781700375.640450001,2.500000000,0,0.703000
26,1781700375.740449905,2.600000000,0,0.728000
27,1781700375.840450048,2.700000000,0,0.894000
28,1781700375.940449953,2.800000000,0,0.919000
29,1781700376.040450096,2.900000000,0,0.975000
30,1781700376.140450001,3.000000000,0,1.000000
31,1781700376.240449905,3.100000000,0,1.041000
32,1781700376.340450048,3.200000000,0,1.066000
33,1781700376.440449953,3.300000000,0,1.091000
34,1781700376.540450096,3.400000000,0,1.131000
35,1781700376.640450001,3.500000000,0,1.172000
36,1781700376.740449905,3.600000000,0,1.212000
37,1781700376.840450048,3.700000000,0,1.237000
38,1781700376.940449953,3.800000000,0,1.262000
39,1781700377.040450096,3.900000000,0,1.319000
40,1781700377.140450001,4.000000000,0,1.344000
41,1781700377.240449905,4.100000000,0,1.384000
42,1781700377.340450048,4.200000000,0,1.409000
43,1781700377.440449953,4.300000000,0,1.450000
44,1781700377.540450096,4.400000000,0,1.491000
45,1781700377.640450001,4.500000000,0,1.516000
46,1781700377.740449905,4.600000000,0,1.541000
47,1781700377.840450048,4.700000000,0,1.581000
48,1781700377.940449953,4.800000000,0,1.606000
49,1781700378.040450096,4.900000000,0,1.662000
50,1781700378.140450001,5.000000000,0,1.687000
51,1781700378.240449905,5.100000000,0,1.712000
52,1781700378.340450048,5.200000000,0,1.753000
53,1781700378.440449953,5.300000000,0,1.778000
54,1781700378.540450096,5.400000000,0,1.834000
55,1781700378.640450001,5.500000000,0,1.859000
56,1781700378.740449905,5.600000000,0,1.869000
57,1781700378.840450048,5.700000000,0,1.925000
58,1781700378.940449953,5.800000000,0,1.966000
59,1781700379.040450096,5.900000000,0,2.006000
60,1781700379.140450001,6.000000000,0,2.031000
61,1781700379.240449905,6.100000000,0,2.056000
62,1781700379.340450048,6.200000000,0,2.097000
63,1781700379.440449953,6.300000000,0,2.122000
64,1781700379.540450096,6.400000000,0,2.162000
65,1781700379.640450001,6.500000000,0,2.203000
66,1781700379.740449905,6.600000000,0,2.228000
67,1781700379.840450048,6.700000000,0,2.284000
68,1781700379.940449953,6.800000000,0,2.294000
69,1781700380.040450096,6.900000000,0,2.334000
70,1781700380.140450001,7.000000000,0,2.359000
71,1781700380.240449905,7.100000000,0,2.400000
72,1781700380.340450048,7.200000000,0,2.441000
73,1781700380.440449953,7.300000000,0,2.481000
74,1781700380.540450096,7.400000000,0,2.506000
75,1781700380.640450001,7.500000000,0,2.547000
76,1781700380.740449905,7.600000000,0,2.572000
77,1781700380.840450048,7.700000000,0,2.612000
78,1781700380.940449953,7.800000000,0,2.637000
79,1781700381.040450096,7.900000000,0,2.678000
80,1781700381.140450001,8.000000000,0,2.719000
81,1781700381.240449905,8.100000000,0,2.744000
82,1781700381.340450048,8.200000000,0,2.784000
83,1781700381.440449953,8.300000000,0,2.825000
84,1781700381.540450096,8.400000000,0,2.850000
85,1781700381.640450001,8.500000000,0,2.891000
86,1781700381.740449905,8.600000000,0,2.916000
87,1781700381.840450048,8.700000000,0,2.956000
88,1781700381.940449953,8.800000000,0,2.981000
89,1781700382.040450096,8.900000000,0,3.022000
90,1781700382.140450001,9.000000000,0,3.062000
91,1781700382.240449905,9.100000000,0,3.087000
92,1781700382.340450048,9.200000000,0,3.128000
93,1781700382.440449953,9.300000000,0,3.153000
94,1781700382.540450096,9.400000000,0,3.194000
95,1781700382.640450001,9.500000000,0,3.234000
96,1781700382.740449905,9.600000000,0,3.259000
97,1781700382.840450048,9.700000000,0,3.284000
98,1781700382.940449953,9.800000000,0,3.325000
99,1781700383.040450096,9.900000000,0,3.366000
